Name,Category,ticker
MAHSING [s],Property,8583.KL
ACME [s],Property,7131.KL
PGF [s],Building Materials,8117.KL
CENSOF [s],Software,5195.KL
NGGB [s],Industrial Services,7241.KL
YTLREIT,Real Estate Investment Trusts,5109.KL
WENTEL [s],"Industrial Materials, Components & Equipment",298.KL
CATCHA,Media,173.KL
MESTRON [s],Metals,207.KL
ECOWLD [s],Property,8206.KL
CHGP [s],Transportation Equipment,7187.KL
SLP [s],Packaging Materials,7248.KL
ASTINO [s],Building Materials,7162.KL
HCK [s],Property,7105.KL
AYER [s],Property,2305.KL
ANALABS,Industrial Services,7083.KL
TAMBUN [s],Property,5191.KL
VERSATL [s],Packaging Materials,4995.KL
APPASIA,Software,119.KL
KLUANG,Plantation,2453.KL
BABA [s],Houshold Goods,3012.KL
HEKTAR,Real Estate Investment Trusts,5121.KL
SENTRAL,Real Estate Investment Trusts,5123.KL
PDZ,Transportation & Logistics Services,6254.KL
CRPMATE [s],Chemicals,331.KL
SORENTO [s],Houshold Goods,326.KL
CBIP [s],"Industrial Materials, Components & Equipment",7076.KL
OKA [s],Building Materials,7140.KL
FPGROUP [s],"Industrial Materials, Components & Equipment",5277.KL
FCW,Houshold Goods,2755.KL
KSENG,Diversified Industrials,3476.KL
MI [s],Technology Equipment,5286.KL
BONIA [s],Personal Goods,9288.KL
MBSB [s],Other Financials,1171.KL
MBRIGHT [s],"Travel, Leisure & Hospitality",2097.KL
MAGNUM,"Travel, Leisure & Hospitality",3859.KL
KIMLUN [s],Construction,5171.KL
KPS [s],Diversified Industrials,5843.KL
GOB [s],Property,1147.KL
SUNVIEW [s],Industrial Services,262.KL
ALAQAR [s],Real Estate Investment Trusts,5116.KL
ZHULIAN [s],Consumer Services,5131.KL
LIIHEN [s],Houshold Goods,7089.KL
TNLOGIS [s],Transportation & Logistics Services,8397.KL
POHUAT,Houshold Goods,7088.KL
GENP [s],Plantation,2291.KL
FIBON,"Industrial Materials, Components & Equipment",149.KL
IJM [s],Construction,3336.KL
KIPREIT,Real Estate Investment Trusts,5280.KL
SIMEPROP [s],Property,5288.KL
PARAMON [s],Property,1724.KL
KUB [s],Industrial Services,6874.KL
DOMINAN [s],Wood & Wood Products,7169.KL
KARYON [s],Chemicals,54.KL
UMCCA [s],Plantation,2593.KL
MENANG [s],Property,1694.KL
AIMFLEX,Technology Equipment,209.KL
PETRONM [s],Oil & Gas Producers,3042.KL
MUH,Property,9539.KL
E&O [s],Property,3417.KL
PPB [s],Food & Beverages,4065.KL
ORIENT,Automotive,4006.KL
MEGAFB,"Industrial Materials, Components & Equipment",5327.KL
NPC [s],Plantation,5047.KL
TSH [s],Plantation,9059.KL
HM,Technology Equipment,60.KL
OSKVI,Other Financials,53.KL
LSTEEL [s],Metals,9881.KL
HIGHTEC [s],Industrial Engineering,7033.KL
UOADEV [s],Property,5200.KL
ATLAN,Retailers,7048.KL
DUFU [s],"Industrial Materials, Components & Equipment",7233.KL
APM [s],Auto Parts,5015.KL
HHHCORP [s],Industrial Services,160.KL
SUCCESS [s],"Industrial Materials, Components & Equipment",7207.KL
LWSABAH [s],Food & Beverages,5328.KL
KOBAY [s],"Industrial Materials, Components & Equipment",6971.KL
KKB [s],Industrial Engineering,9466.KL
UMS [s],"Industrial Materials, Components & Equipment",7137.KL
FIMACOR [s],Industrial Services,3107.KL
SBAGAN,Plantation,2569.KL
SSF [s],Retailers,287.KL
PTT [s],Property,7010.KL
KPSCB [s],Wood & Wood Products,9121.KL
KHB [s],Auto Parts,322.KL
SPSETIA [s],Property,8664.KL
TDM [s],Plantation,2054.KL
MALPAC,Plantation,4936.KL
NSOP,Plantation,2038.KL
CEPAT [s],Plantation,8982.KL
NCT [s],Property,56.KL
OPPSTAR [s],Semiconductors,275.KL
PGLOBE [s],Property,3611.KL
ORNA [s],Packaging Materials,5065.KL
BLDPLNT [s],Plantation,5069.KL
M&A,Other Financials,7082.KL
DPIH,Houshold Goods,205.KL
MAG [s],Food & Beverages,95.KL
SMART [s],Building Materials,306.KL
HHRG [s],"Industrial Materials, Components & Equipment",175.KL
CVIEW [s],Property,5049.KL
TURBO,"Industrial Materials, Components & Equipment",5167.KL
UMSNGB [s],"Industrial Materials, Components & Equipment",7227.KL
KLK [s],Plantation,2445.KL
UOAREIT,Real Estate Investment Trusts,5110.KL
JCY [s],Technology Equipment,5161.KL
BJCORP,Diversified Industrials,3395.KL
XL [s],Consumer Services,7121.KL
BDB [s],Property,6173.KL
KAREX [s],Personal Goods,5247.KL
BKAWAN [s],Plantation,1899.KL
COSMOS [s],Industrial Services,261.KL
ZANTAT [s],Chemicals,301.KL
SJC [s],Media,9431.KL
FSBM,Technology Equipment,9377.KL
SEG [s],Consumer Services,9792.KL
CYBERE [s],Consumer Services,5166.KL
MKH [s],Property,6114.KL
SCGM,Packaging Materials,7247.KL
TELADAN [s],Property,230.KL
UWC [s],Semiconductors,5292.KL
FGV [s],Plantation,5222.KL
GAMUDA [s],Construction,5398.KL
MYNEWS,Retailers,5275.KL
SURIA [s],Transportation & Logistics Services,6521.KL
EITA [s],"Industrial Materials, Components & Equipment",5208.KL
PRESTAR [s],Metals,9873.KL
SENHENG [s],Retailers,5305.KL
GENTING,"Travel, Leisure & Hospitality",3182.KL
CNERGEN [s],Technology Equipment,246.KL
KHIND [s],Houshold Goods,7062.KL
GTRONIC [s],Semiconductors,7022.KL
SUNZEN,Agricultural Products,148.KL
FAVCO [s],Industrial Engineering,7229.KL
RESINTC [s],Building Materials,7232.KL
PLABS,Agricultural Products,171.KL
ASIAFLE,Consumer Services,7129.KL
METROD,Metals,6149.KL
SRIDGE [s],Telecommunications Equipment,129.KL
CSCSTEL [s],Metals,5094.KL
PMBTECH [s],Metals,7172.KL
UNISEM [s],Semiconductors,5005.KL
ANEKA [s],Construction,226.KL
GUOCO [s],Property,1503.KL
AFFIN,Banking,5185.KL
OFB [s],Food & Beverages,312.KL
TANCO [s],Property,2429.KL
INSAS,Other Financials,3379.KL
VOLCANO [s],Industrial Services,232.KL
PLENITU [s],Property,5075.KL
SBH [s],Agricultural Products,300.KL
LEONFB [s],Metals,5232.KL
KYM [s],Packaging Materials,8362.KL
BESHOM,Retailers,7668.KL
KUCHAI,Other Financials,2186.KL
SDRED [s],Property,2224.KL
ACO [s],Industrial Services,218.KL
FIAMMA [s],Houshold Goods,6939.KL
CPETECH [s],"Industrial Materials, Components & Equipment",5317.KL
WINSTAR [s],Metals,336.KL
ECOMATE [s],Houshold Goods,239.KL
TMCLIFE [s],Health Care Providers,101.KL
ECOFIRS [s],Property,3557.KL
MSTGOLF [s],Retailers,5316.KL
MELATI [s],Construction,5129.KL
MRCB [s],Property,1651.KL
YONGTAI [s],Property,7066.KL
CAMRES [s],Houshold Goods,7128.KL
OBHB [s],Food & Beverages,327.KL
AMFIRST,Real Estate Investment Trusts,5120.KL
NESTCON [s],Construction,235.KL
MALTON [s],Property,6181.KL
PCCS,Personal Goods,6068.KL
K1 [s],Technology Equipment,111.KL
SCC [s],Consumer Services,158.KL
MYCRON [s],Metals,5087.KL
SMISCOR [s],Auto Parts,7132.KL
MAXIM [s],Property,4022.KL
CMSB [s],Building Materials,2852.KL
SHCHAN [s],Plantation,4316.KL
SHANG,"Travel, Leisure & Hospitality",5517.KL
IGBCR,Real Estate Investment Trusts,5299.KL
PRKCORP [s],Transportation & Logistics Services,8346.KL
PLINTAS [s],",",5320.KL
FACBIND,Metals,2984.KL
HPMT [s],"Industrial Materials, Components & Equipment",5291.KL
RTSTECH [s],Software,3039.KL
TRC,Construction,5054.KL
ALSREIT [s],Real Estate Investment Trusts,5269.KL
GMUTUAL [s],Property,9962.KL
GLOTEC [s],"Industrial Materials, Components & Equipment",5220.KL
3REN [s],Semiconductors,328.KL
SNOWFIT,Houshold Goods,3054.KL
TURIYA [s],Semiconductors,4359.KL
WELLS [s],Food & Beverages,271.KL
TIENWAH,Industrial Services,7374.KL
TEKSENG [s],Houshold Goods,7200.KL
ELSOFT,Technology Equipment,90.KL
